City,Beach,Date,Enterococcus
BERTIOGA,ENSEADA - INDAIÁ,2012-04-01,1
BERTIOGA,ENSEADA - INDAIÁ,2012-04-08,20
BERTIOGA,ENSEADA - INDAIÁ,2012-04-15,5
BERTIOGA,ENSEADA - INDAIÁ,2012-04-22,4
BERTIOGA,ENSEADA - INDAIÁ,2012-04-29,8
BERTIOGA,ENSEADA - INDAIÁ,2012-05-06,3
BERTIOGA,ENSEADA - INDAIÁ,2012-05-13,13
BERTIOGA,ENSEADA - INDAIÁ,2012-05-20,5
BERTIOGA,ENSEADA - INDAIÁ,2012-05-27,5
BERTIOGA,ENSEADA - INDAIÁ,2012-06-03,2
BERTIOGA,ENSEADA - INDAIÁ,2012-06-10,16
BERTIOGA,ENSEADA - INDAIÁ,2012-06-17,260
BERTIOGA,ENSEADA - INDAIÁ,2012-06-24,1
BERTIOGA,ENSEADA - INDAIÁ,2012-07-01,1
BERTIOGA,ENSEADA - INDAIÁ,2012-07-08,53
BERTIOGA,ENSEADA - INDAIÁ,2012-07-15,1
BERTIOGA,ENSEADA - INDAIÁ,2012-07-22,11
BERTIOGA,ENSEADA - INDAIÁ,2012-07-29,19
BERTIOGA,ENSEADA - INDAIÁ,2012-08-05,1
BERTIOGA,ENSEADA - INDAIÁ,2012-08-12,4
BERTIOGA,ENSEADA - INDAIÁ,2012-08-19,1
BERTIOGA,ENSEADA - INDAIÁ,2012-08-26,132
BERTIOGA,ENSEADA - INDAIÁ,2012-09-02,1
BERTIOGA,ENSEADA - INDAIÁ,2012-09-09,4
BERTIOGA,ENSEADA - INDAIÁ,2012-09-16,32
BERTIOGA,ENSEADA - INDAIÁ,2012-09-23,1
BERTIOGA,ENSEADA - INDAIÁ,2012-09-30,21
BERTIOGA,ENSEADA - INDAIÁ,2012-10-07,1
BERTIOGA,ENSEADA - INDAIÁ,2012-10-14,132
BERTIOGA,ENSEADA - INDAIÁ,2012-10-21,1
BERTIOGA,ENSEADA - INDAIÁ,2012-10-28,2
BERTIOGA,ENSEADA - INDAIÁ,2012-11-04,6
